timestamp,time_seconds,rpm,map_kpa,altitude_m,airspeed_mps,health_score,anomaly_score,predicted_fault,fault_probability,predicted_cylinder,scenario_rul_sec,scenario_rul_lower_sec,scenario_rul_upper_sec,remaining_mission_sec,p_mission_success,p_rtb_safe,risk_level,decision,action_protocol,egt_1_c,cht_1_c,expected_egt_1_c,expected_cht_1_c,residual_egt_1_c,residual_cht_1_c,egt_2_c,cht_2_c,expected_egt_2_c,expected_cht_2_c,residual_egt_2_c,residual_cht_2_c,egt_3_c,cht_3_c,expected_egt_3_c,expected_cht_3_c,residual_egt_3_c,residual_cht_3_c,egt_4_c,cht_4_c,expected_egt_4_c,expected_cht_4_c,residual_egt_4_c,residual_cht_4_c
 ,0.0,0.0,102.06576446,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7200.0,0.119,0.727,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-442.7563849363198,-231.1460279615065,462.56749604743095,251.04047240595094,20.4,20.6,-150.75330762773228,-84.12376291400255,171.1533076277323,104.72376291400255,19.577777777777776,19.183333333333334,-425.28261600123614,-156.70660109404076,444.8603937790139,175.8899344273741,20.52777777777778,20.411111111111108,-278.45719991970947,-177.64047712942326,298.98497769748724,198.05158824053436
 ,1.0,0.0,102.06576446,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7199.0,0.103,0.707,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-442.7563849363198,-231.1460279615065,462.56749604743095,251.04047240595094,20.4,20.6,-150.75330762773228,-84.12376291400255,171.1533076277323,104.72376291400255,19.577777777777776,19.183333333333334,-425.28261600123614,-156.70660109404076,444.8603937790139,175.8899344273741,20.52777777777778,20.411111111111108,-278.45719991970947,-177.64047712942326,298.98497769748724,198.05158824053436
2022-04-17 12:48:47,2.0,0.0,102.06576446,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7198.0,0.115,0.72,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-442.7563849363198,-231.1460279615065,462.56749604743095,251.04047240595094,20.4,20.6,-150.75330762773228,-84.12376291400255,171.1533076277323,104.72376291400255,19.577777777777776,19.183333333333334,-425.28261600123614,-156.70660109404076,444.8603937790139,175.8899344273741,20.52777777777778,20.411111111111108,-278.45719991970947,-177.64047712942326,298.98497769748724,198.05158824053436
2022-04-17 12:48:48,3.0,0.0,102.09962835,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7197.0,0.118,0.718,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-443.535384981118,-231.28634875290643,463.34649609222913,251.18079319735088,20.4,20.6,-151.49861226100893,-84.1908963491528,171.89861226100894,104.7908963491528,19.577777777777776,19.183333333333334,-426.073357339631,-156.8201197430326,445.6511351174088,176.00345307636593,20.52777777777778,20.411111111111108,-279.19719026339857,-177.763540120773,299.72496804117634,198.1746512318841
2022-04-17 12:48:49,4.0,0.0,102.06576446,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7196.0,0.126,0.746,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-442.7563849363198,-231.1460279615065,462.56749604743095,251.04047240595094,20.4,20.6,-150.75330762773228,-84.12376291400255,171.1533076277323,104.72376291400255,19.577777777777776,19.183333333333334,-425.28261600123614,-156.70660109404076,444.8603937790139,175.8899344273741,20.52777777777778,20.411111111111108,-278.45719991970947,-177.64047712942326,298.98497769748724,198.05158824053436
2022-04-17 12:48:50,5.0,0.0,102.03190057,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7195.0,0.108,0.698,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.81111111111111,19.89444444444445,-441.97760208197934,-231.00571796595125,461.7887131930905,250.9001624103957,20.4,20.6,-150.0082143628274,-84.05663967767781,170.4082143628274,104.65663967767782,19.577777777777776,19.183333333333334,-424.49213943780296,-156.59309104595468,444.06991721558074,175.77642437928802,20.52777777777778,20.411111111111108,-277.71736542089326,-177.51742441920123,298.24514319867103,197.92853553031233
2022-04-17 12:48:51,6.0,0.0,102.06576446,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7194.0,0.108,0.723,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.8,19.899999999999995,-442.7563849363198,-231.1460279615065,462.55638493631983,251.0460279615065,20.416666666666668,20.60555555555556,-150.75330762773228,-84.12376291400255,171.16997429439894,104.72931846955811,19.58888888888889,19.188888888888894,-425.28261600123614,-156.70660109404076,444.87150489012504,175.89548998292966,20.538888888888888,20.416666666666668,-278.45719991970947,-177.64047712942326,298.99608880859836,198.05714379608992
2022-04-17 12:48:52,7.0,0.0,102.03190057,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7193.0,0.108,0.706,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.822222222222223,19.899999999999995,-441.97760208197934,-231.00571796595125,461.7998243042016,250.90571796595125,20.416666666666668,20.616666666666667,-150.0082143628274,-84.05663967767781,170.42488102949406,104.67330634434447,19.58888888888889,19.194444444444443,-424.49213943780296,-156.59309104595468,444.08102832669186,175.78753549039914,20.544444444444448,20.422222222222224,-277.71736542089326,-177.51742441920123,298.2618098653377,197.93964664142345
2022-04-17 12:48:53,8.0,0.0,102.03190057,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7192.0,0.107,0.709,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.816666666666663,19.91111111111111,-441.97760208197934,-231.00571796595125,461.794268748646,250.91682907706235,20.422222222222224,20.611111111111107,-150.0082143628274,-84.05663967767781,170.43043658504962,104.66775078878891,19.58888888888889,19.2,-424.49213943780296,-156.59309104595468,444.08102832669186,175.79309104595467,20.544444444444448,20.427777777777774,-277.71736542089326,-177.51742441920123,298.2618098653377,197.945202196979
2022-04-17 12:48:54,9.0,0.0,102.03190057,88.75776,0.0,0.0,1.0,HEALTHY,0.9997008923808915,0,2116.495554643396,0.0,2161.354491282352,7191.0,0.104,0.686,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,19.827777777777776,19.91111111111111,-441.97760208197934,-231.00571796595125,461.8053798597571,250.91682907706235,20.422222222222224,20.616666666666667,-150.0082143628274,-84.05663967767781,170.43043658504962,104.67330634434447,19.60555555555556,19.2,-424.49213943780296,-156.59309104595468,444.0976949933585,175.79309104595467,20.55,20.427777777777774,-277.71736542089326,-177.51742441920123,298.26736542089327,197.945202196979
