timestamp,time_seconds,rpm,map_kpa,altitude_m,airspeed_mps,health_score,anomaly_score,predicted_fault,fault_probability,predicted_cylinder,scenario_rul_sec,scenario_rul_lower_sec,scenario_rul_upper_sec,remaining_mission_sec,p_mission_success,p_rtb_safe,risk_level,decision,action_protocol,egt_1_c,cht_1_c,expected_egt_1_c,expected_cht_1_c,residual_egt_1_c,residual_cht_1_c,egt_2_c,cht_2_c,expected_egt_2_c,expected_cht_2_c,residual_egt_2_c,residual_cht_2_c,egt_3_c,cht_3_c,expected_egt_3_c,expected_cht_3_c,residual_egt_3_c,residual_cht_3_c,egt_4_c,cht_4_c,expected_egt_4_c,expected_cht_4_c,residual_egt_4_c,residual_cht_4_c
2021-06-17 06:35:23,0.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7200.0,0.096,0.702,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.627777777777776,22.96111111111111,-435.935147587225,-218.90097520595475,464.5629253650028,241.86208631706586,28.633333333333336,20.738888888888887,-191.72097999597597,-86.75420371027329,220.3543133293093,107.49309259916217,28.633333333333336,22.672222222222224,-390.6081799676959,-148.70670847537633,419.2415133010292,171.37893069759855,28.633333333333336,20.33888888888889,-284.48838843274007,-174.41252699845612,313.1217217660734,194.751415887345
2021-06-17 06:35:23,1.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7199.0,0.102,0.687,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.627777777777776,22.96111111111111,-435.935147587225,-218.90097520595475,464.5629253650028,241.86208631706586,28.633333333333336,20.738888888888887,-191.72097999597597,-86.75420371027329,220.3543133293093,107.49309259916217,28.633333333333336,22.672222222222224,-390.6081799676959,-148.70670847537633,419.2415133010292,171.37893069759855,28.633333333333336,20.33888888888889,-284.48838843274007,-174.41252699845612,313.1217217660734,194.751415887345
2021-06-17 06:35:24,2.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7198.0,0.093,0.721,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.627777777777776,22.96111111111111,-435.935147587225,-218.90097520595475,464.5629253650028,241.86208631706586,28.633333333333336,20.738888888888887,-191.72097999597597,-86.75420371027329,220.3543133293093,107.49309259916217,28.633333333333336,22.672222222222224,-390.6081799676959,-148.70670847537633,419.2415133010292,171.37893069759855,28.633333333333336,20.33888888888889,-284.48838843274007,-174.41252699845612,313.1217217660734,194.751415887345
2021-06-17 06:35:25,3.0,0.0,99.15346992,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7197.0,0.117,0.686,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.649999999999995,22.96111111111111,-435.1481859954366,-218.76575364131944,463.7981859954366,241.72686475243054,28.64444444444445,20.738888888888887,-190.96886895488944,-86.69214862902521,219.6133133993339,107.43103751791409,28.64444444444445,22.672222222222224,-389.8143584890901,-148.59845890359395,418.45880293353457,171.27068112581617,28.64444444444445,20.33333333333333,-283.74052611855774,-174.293313608262,312.3849705630022,194.6266469415953
2021-06-17 06:35:26,4.0,0.0,99.15346992,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7196.0,0.096,0.681,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.627777777777776,22.96111111111111,-435.1481859954366,-218.76575364131944,463.7759637732144,241.72686475243054,28.633333333333336,20.738888888888887,-190.96886895488944,-86.69214862902521,219.60220228822277,107.43103751791409,28.633333333333336,22.672222222222224,-389.8143584890901,-148.59845890359395,418.44769182242345,171.27068112581617,28.633333333333336,20.344444444444445,-283.74052611855774,-174.293313608262,312.37385945189106,194.63775805270643
2021-06-17 06:35:27,5.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7195.0,0.104,0.694,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.649999999999995,22.96666666666667,-435.935147587225,-218.90097520595475,464.585147587225,241.86764187262142,28.64444444444445,20.75555555555556,-191.72097999597597,-86.75420371027329,220.3654244404204,107.50975926582885,28.64444444444445,22.683333333333334,-390.6081799676959,-148.70670847537633,419.25262441214034,171.39004180870967,28.64444444444445,20.35,-284.48838843274007,-174.41252699845612,313.1328328771845,194.7625269984561
2021-06-17 06:35:28,6.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7194.0,0.104,0.675,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.649999999999995,22.96666666666667,-435.935147587225,-218.90097520595475,464.585147587225,241.86764187262142,28.649999999999995,20.75555555555556,-191.72097999597597,-86.75420371027329,220.37097999597597,107.50975926582885,28.649999999999995,22.683333333333334,-390.6081799676959,-148.70670847537633,419.25817996769587,171.39004180870967,28.649999999999995,20.35,-284.48838843274007,-174.41252699845612,313.13838843274004,194.7625269984561
2021-06-17 06:35:29,7.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7193.0,0.1,0.697,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.649999999999995,22.977777777777774,-435.935147587225,-218.90097520595475,464.585147587225,241.8787529837325,28.649999999999995,20.75555555555556,-191.72097999597597,-86.75420371027329,220.37097999597597,107.50975926582885,28.649999999999995,22.68888888888889,-390.6081799676959,-148.70670847537633,419.25817996769587,171.39559736426523,28.649999999999995,20.361111111111114,-284.48838843274007,-174.41252699845612,313.13838843274004,194.77363810956723
2021-06-17 06:35:30,8.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7192.0,0.121,0.703,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.649999999999995,22.977777777777774,-435.935147587225,-218.90097520595475,464.585147587225,241.8787529837325,28.649999999999995,20.761111111111116,-191.72097999597597,-86.75420371027329,220.37097999597597,107.51531482138441,28.649999999999995,22.68888888888889,-390.6081799676959,-148.70670847537633,419.25817996769587,171.39559736426523,28.649999999999995,20.355555555555554,-284.48838843274007,-174.41252699845612,313.13838843274004,194.76808255401167
2021-06-17 06:35:31,9.0,0.0,99.18733381,340.46160000000003,0.0,0.0,1.0,HEALTHY,0.9996986195864304,0,2000.3177524121866,0.0,2153.531379788023,7191.0,0.101,0.71,CRITICAL (EMERGENCY),EMERGENCY_DESCENT_LANDING,Imminent engine failure risk. Divert to nearest emergency recovery airstrip immediately.,28.666666666666664,22.977777777777774,-435.935147587225,-218.90097520595475,464.6018142538917,241.8787529837325,28.666666666666664,20.772222222222226,-191.72097999597597,-86.75420371027329,220.38764666264262,107.52642593249551,28.666666666666664,22.68888888888889,-390.6081799676959,-148.70670847537633,419.2748466343626,171.39559736426523,28.666666666666664,20.366666666666664,-284.48838843274007,-174.41252699845612,313.15505509940675,194.7791936651228
