flight_id,time_seconds,timestamp,rpm,map_kpa,fuel_flow_lph,oil_temp_c,oil_pressure_kpa,cht_1_c,cht_2_c,cht_3_c,cht_4_c,cht_5_c,cht_6_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,egt_5_c,egt_6_c,tit_1_c,tit_2_c,altitude_m,airspeed_mps,vertical_speed_mps,ambient_temp_c,voltage_1,voltage_2,current_1,current_2,fuel_qty_l_litres,fuel_qty_r_litres,pitch_deg,roll_deg
FLIGHT_02,0.0, ,0.0,102.06576446,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.08128,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,1.0, ,0.0,102.06576446,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.08128,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,2.0,2022-04-17 12:48:47,0.0,102.06576446,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.08128,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,3.0,2022-04-17 12:48:48,0.0,102.09962834999999,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.08128,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,4.0,2022-04-17 12:48:49,0.0,102.06576446,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.014986000000000001,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,5.0,2022-04-17 12:48:50,0.0,102.03190056999999,0.0,21.272222222222226,2.41316495,19.894444444444446,20.599999999999998,19.183333333333334,20.411111111111108,19.222222222222218,20.694444444444443,19.81111111111111,20.4,19.577777777777776,20.52777777777778,19.688888888888886,20.933333333333337,19.677777777777777,18.966666666666665,88.75776,0.0,-0.071628,21.2,23.3,22.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,6.0,2022-04-17 12:48:51,0.0,102.06576446,0.0,21.277777777777775,2.41316495,19.899999999999995,20.605555555555558,19.188888888888894,20.416666666666668,19.222222222222218,20.700000000000003,19.8,20.416666666666668,19.588888888888892,20.538888888888888,19.705555555555556,20.938888888888886,19.694444444444446,18.966666666666665,88.75776,0.0,-0.08092440000000001,21.2,23.6,23.0,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,7.0,2022-04-17 12:48:52,0.0,102.03190056999999,0.0,21.277777777777775,2.48211252,19.899999999999995,20.616666666666667,19.194444444444443,20.422222222222224,19.227777777777778,20.705555555555552,19.822222222222226,20.416666666666668,19.588888888888892,20.544444444444448,19.705555555555556,20.949999999999996,19.699999999999996,18.972222222222225,88.75776,0.0,-0.0686816,21.2,23.9,23.2,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,8.0,2022-04-17 12:48:53,0.0,102.03190056999999,0.0,21.288888888888884,2.48211252,19.91111111111111,20.611111111111107,19.2,20.427777777777774,19.233333333333334,20.700000000000003,19.816666666666666,20.422222222222224,19.588888888888892,20.544444444444448,19.711111111111112,20.961111111111112,19.699999999999996,18.966666666666665,88.75776,0.0,-0.07741920000000001,21.2,24.0,23.4,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,9.0,2022-04-17 12:48:54,0.0,102.03190056999999,0.0,21.283333333333335,2.48211252,19.91111111111111,20.616666666666667,19.2,20.427777777777774,19.233333333333334,20.705555555555552,19.827777777777776,20.422222222222224,19.605555555555558,20.549999999999997,19.72222222222222,20.955555555555556,19.716666666666665,18.966666666666665,88.75776,0.0,-0.08112760000000001,21.2,24.2,23.5,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,10.0,2022-04-17 12:48:55,0.0,102.03190056999999,0.0,21.294444444444444,2.48211252,19.91111111111111,20.622222222222224,19.205555555555552,20.427777777777774,19.238888888888887,20.705555555555552,19.833333333333336,20.438888888888894,19.605555555555558,20.566666666666663,19.716666666666665,20.97222222222222,19.711111111111112,18.983333333333334,88.75776,0.0,-0.06289040000000001,21.2,24.3,23.6,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,11.0,2022-04-17 12:48:56,0.0,102.03190056999999,0.0,21.3,2.48211252,19.92222222222222,20.622222222222224,19.205555555555552,20.438888888888894,19.238888888888887,20.711111111111112,19.833333333333336,20.433333333333334,19.622222222222216,20.561111111111114,19.73333333333333,20.966666666666665,19.716666666666665,18.977777777777774,88.75776,0.0,-0.0362712,21.2,24.4,23.7,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,12.0,2022-04-17 12:48:57,0.0,102.06576446,0.0,21.3,2.55106009,19.916666666666664,20.622222222222224,19.21111111111111,20.438888888888894,19.244444444444444,20.71666666666667,19.833333333333336,20.433333333333334,19.616666666666667,20.561111111111114,19.72777777777778,20.97222222222222,19.716666666666665,18.983333333333334,88.75776,0.0,-0.0626872,21.2,24.5,23.8,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,13.0,2022-04-17 12:48:58,0.0,102.06576446,0.0,21.305555555555554,2.48211252,19.92777777777778,20.627777777777776,19.21111111111111,20.444444444444443,19.250000000000004,20.71666666666667,19.838888888888885,20.45,19.622222222222216,20.57777777777778,19.73333333333333,20.98333333333333,19.744444444444447,18.983333333333334,88.75776,0.0,-0.080518,21.2,24.5,23.8,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,14.0,2022-04-17 12:48:59,0.0,102.06576446,0.0,21.305555555555554,2.48211252,19.92222222222222,20.638888888888893,19.21666666666667,20.444444444444443,19.255555555555553,20.72222222222222,19.85,20.455555555555552,19.633333333333336,20.58888888888889,19.73888888888889,20.98333333333333,19.744444444444447,18.983333333333334,88.75776,0.0,-0.0796544,21.2,24.6,23.9,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,15.0,2022-04-17 12:49:00,0.0,102.06576446,0.0,21.305555555555554,2.55106009,19.92222222222222,20.633333333333333,19.21666666666667,20.45,19.250000000000004,20.71666666666667,19.86111111111111,20.455555555555552,19.644444444444442,20.583333333333332,19.744444444444447,20.994444444444447,19.766666666666666,18.994444444444444,88.75776,0.0,-0.0812292,21.2,24.6,23.9,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,16.0,2022-04-17 12:49:01,0.0,102.06576446,0.0,21.305555555555554,2.48211252,19.92777777777778,20.638888888888893,19.21666666666667,20.45,19.255555555555553,20.727777777777778,19.87222222222222,20.46666666666667,19.644444444444442,20.583333333333332,19.749999999999996,20.999999999999996,19.772222222222222,18.994444444444444,88.75776,0.0,-0.08128,21.2,24.6,23.9,-4.8,,174.128952,171.21418476,3.28,-0.51
FLIGHT_02,17.0,2022-04-17 12:49:02,0.0,102.06576446,0.0,21.31111111111111,2.48211252,19.93333333333333,20.638888888888893,19.222222222222218,20.455555555555552,19.255555555555553,20.727777777777778,19.877777777777776,20.472222222222218,19.650000000000002,20.599999999999998,19.755555555555556,20.994444444444447,19.766666666666666,19.0,88.75776,0.0,-0.0806196,21.2,24.6,24.0,-4.8,,174.128952,171.21418476,3.28,-0.51
