flight_id,time_seconds,timestamp,rpm,map_kpa,fuel_flow_lph,oil_temp_c,oil_pressure_kpa,cht_1_c,cht_2_c,cht_3_c,cht_4_c,cht_5_c,cht_6_c,egt_1_c,egt_2_c,egt_3_c,egt_4_c,egt_5_c,egt_6_c,tit_1_c,tit_2_c,altitude_m,airspeed_mps,vertical_speed_mps,ambient_temp_c,voltage_1,voltage_2,current_1,current_2,fuel_qty_l_litres,fuel_qty_r_litres,pitch_deg,roll_deg,data_origin,fault_active,fault_id,fault_type,fault_cylinder,fault_severity,scenario_rul_sec,expected_fuel_flow_lph,residual_fuel_flow_lph,expected_oil_pressure_kpa,residual_oil_pressure_kpa,expected_egt_1_c,residual_egt_1_c,expected_cht_1_c,residual_cht_1_c,expected_egt_2_c,residual_egt_2_c,expected_cht_2_c,residual_cht_2_c,expected_egt_3_c,residual_egt_3_c,expected_cht_3_c,residual_cht_3_c,expected_egt_4_c,residual_egt_4_c,expected_cht_4_c,residual_cht_4_c,egt_mean_c,egt_std_c,egt_max_c,egt_min_c,egt_spread_c,egt_dev_mean_cyl1_c,egt_dev_mean_cyl2_c,egt_dev_mean_cyl3_c,egt_dev_mean_cyl4_c,cht_mean_c,cht_std_c,cht_max_c,cht_min_c,cht_spread_c,cht_dev_mean_cyl1_c,cht_dev_mean_cyl2_c,cht_dev_mean_cyl3_c,cht_dev_mean_cyl4_c,degt_dt_cyl1_cps,degt_dt_cyl2_cps,degt_dt_cyl3_cps,degt_dt_cyl4_cps,dcht_dt_cyl1_cps,dcht_dt_cyl2_cps,dcht_dt_cyl3_cps,dcht_dt_cyl4_cps,doil_temp_dt_cps,doil_press_dt_kpaps,oil_hydraulic_index,thermal_stress_ratio,anomaly_score,health_index,is_anomaly,predicted_fault_type,fault_probability,predicted_cylinder,predicted_rul_sec,predicted_rul_lower_sec,predicted_rul_upper_sec,p_mission_success,operator_recommendation,risk_level
FLIGHT_01,0.0,2021-06-17 06:35:23,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.82481456,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.81879048674625,-250.85352450674625,-435.935147587225,464.5629253650028,-218.90097520595475,241.86208631706583,-191.72097999597585,220.35431332930915,-86.75420371027326,107.49309259916214,-390.60817996769583,419.2415133010292,-148.70670847537633,171.37893069759855,-284.48838843274007,313.1217217660734,-174.41252699845614,194.75141588734505,28.631944444444446,0.0027777777777799884,28.633333333333336,28.627777777777776,0.005555555555559977,-0.0041666666666699825,0.0013888888888899942,0.0013888888888899942,0.0013888888888899942,21.677777777777777,1.3304134695650074,22.96111111111111,20.33888888888889,2.62222222222222,1.2833333333333314,-0.93888888888889,0.9944444444444471,-1.3388888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011914892161643223,1.3207970271655562,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,1.0,2021-06-17 06:35:23,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.82481456,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.81879048674625,-250.85352450674625,-435.935147587225,464.5629253650028,-218.90097520595475,241.86208631706583,-191.72097999597585,220.35431332930915,-86.75420371027326,107.49309259916214,-390.60817996769583,419.2415133010292,-148.70670847537633,171.37893069759855,-284.48838843274007,313.1217217660734,-174.41252699845614,194.75141588734505,28.631944444444446,0.0027777777777799884,28.633333333333336,28.627777777777776,0.005555555555559977,-0.0041666666666699825,0.0013888888888899942,0.0013888888888899942,0.0013888888888899942,21.677777777777777,1.3304134695650074,22.96111111111111,20.33888888888889,2.62222222222222,1.2833333333333314,-0.93888888888889,0.9944444444444471,-1.3388888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004166666666665542,-0.01723689249999999,0.011914892161643223,1.3207970271655562,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,2.0,2021-06-17 06:35:24,0.0,99.18733381,0.0,21.05555555555556,0.96526598,22.96111111111111,20.738888888888887,22.672222222222224,20.33888888888889,23.022222222222226,20.544444444444448,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,82.31378394,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.81879048674625,-250.85352450674625,-435.935147587225,464.5629253650028,-218.90097520595475,241.86208631706583,-191.72097999597585,220.35431332930915,-86.75420371027326,107.49309259916214,-390.60817996769583,419.2415133010292,-148.70670847537633,171.37893069759855,-284.48838843274007,313.1217217660734,-174.41252699845614,194.75141588734505,28.631944444444446,0.0027777777777799884,28.633333333333336,28.627777777777776,0.005555555555559977,-0.0041666666666699825,0.0013888888888899942,0.0013888888888899942,0.0013888888888899942,21.677777777777777,1.3304134695650074,22.96111111111111,20.33888888888889,2.62222222222222,1.2833333333333314,-0.93888888888889,0.9944444444444471,-1.3388888888888886,0.007407407407406197,0.003703703703704283,0.003703703703704283,0.003703703703704283,0.0,0.0,0.0,-0.0018518518518533256,0.0033333333333324332,-0.013789513999999992,0.011914892161643223,1.3207970271655562,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,3.0,2021-06-17 06:35:25,0.0,99.15346992,0.0,21.072222222222223,0.89631841,22.96111111111111,20.738888888888887,22.672222222222224,20.33333333333333,23.01111111111112,20.544444444444448,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.9,,174.128952,81.80275332,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.0784956308878,-453.0784956308878,251.77375126437968,-250.8774328543797,-435.14818599543673,463.7981859954367,-218.76575364131944,241.72686475243052,-190.9688689548893,219.61331339933372,-86.69214862902518,107.43103751791406,-389.81435848909,418.4588029335344,-148.59845890359392,171.27068112581614,-283.7405261185577,312.3849705630021,-174.29331360826197,194.6266469415953,28.645833333333336,0.002777777777772883,28.649999999999995,28.64444444444445,0.005555555555545766,0.004166666666659324,-0.0013888888888864415,-0.0013888888888864415,-0.0013888888888864415,21.676388888888887,1.3322787110008223,22.96111111111111,20.33333333333333,2.62777777777778,1.2847222222222214,-0.9375,0.9958333333333371,-1.3430555555555586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018518518518521414,0.004444444444443007,-0.013789513999999992,0.011065672560890352,1.321522393797655,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,4.0,2021-06-17 06:35:26,0.0,99.15346992,0.0,21.072222222222223,0.89631841,22.96111111111111,20.738888888888887,22.672222222222224,20.344444444444445,23.01666666666667,20.55555555555556,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,28.627777777777776,28.633333333333336,28.633333333333336,28.633333333333336,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.8,,174.128952,81.68919095999999,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.0784956308878,-453.0784956308878,251.77375126437968,-250.8774328543797,-435.14818599543673,463.7759637732145,-218.76575364131944,241.72686475243052,-190.9688689548893,219.60220228822263,-86.69214862902518,107.43103751791406,-389.81435848909,418.4476918224233,-148.59845890359392,171.27068112581614,-283.7405261185577,312.373859451891,-174.29331360826197,194.6377580527064,28.631944444444446,0.0027777777777799884,28.633333333333336,28.627777777777776,0.005555555555559977,-0.0041666666666699825,0.0013888888888899942,0.0013888888888899942,0.0013888888888899942,21.679166666666667,1.3285514172634634,22.96111111111111,20.344444444444445,2.6166666666666636,1.2819444444444414,-0.94027777777778,0.9930555555555571,-1.3347222222222221,0.007407407407406197,0.003703703703704283,0.003703703703704283,0.003703703703704283,0.0018518518518533256,0.005555555555557608,0.0037037037037030984,0.003703703703704283,0.004444444444443007,-0.013789513999999992,0.011065672560890352,1.3207124095073355,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,5.0,2021-06-17 06:35:27,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.96666666666667,20.75555555555556,22.683333333333334,20.35,23.01666666666667,20.56111111111112,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,28.649999999999995,28.64444444444445,28.64444444444445,28.64444444444445,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.8,,174.128952,81.49992036,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.75873464450476,-250.86241623450476,-435.935147587225,464.585147587225,-218.90097520595475,241.86764187262145,-191.72097999597585,220.36542444042027,-86.75420371027326,107.50975926582882,-390.60817996769583,419.2526244121403,-148.70670847537633,171.39004180870967,-284.48838843274007,313.1328328771845,-174.41252699845614,194.7625269984561,28.645833333333336,0.002777777777772883,28.649999999999995,28.64444444444445,0.005555555555545766,0.004166666666659324,-0.0013888888888864415,-0.0013888888888864415,-0.0013888888888864415,21.68888888888889,1.3273244228359502,22.96666666666667,20.35,2.616666666666667,1.2777777777777786,-0.93333333333333,0.9944444444444436,-1.3388888888888886,0.0,0.0018518518518485887,0.0018518518518485887,0.0018518518518485887,0.0018518518518533256,0.005555555555557608,0.0037037037037030984,0.005555555555557608,0.0066666666666648665,-0.013789513999999992,0.011066287337554041,1.3207607581967213,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,6.0,2021-06-17 06:35:28,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.96666666666667,20.75555555555556,22.683333333333334,20.35,23.02777777777778,20.55555555555556,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.386358,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.75873464450476,-250.86241623450476,-435.935147587225,464.585147587225,-218.90097520595475,241.86764187262145,-191.72097999597585,220.37097999597583,-86.75420371027326,107.50975926582882,-390.60817996769583,419.2581799676958,-148.70670847537633,171.39004180870967,-284.48838843274007,313.13838843274004,-174.41252699845614,194.7625269984561,28.649999999999995,0.0,28.649999999999995,28.649999999999995,0.0,0.0,0.0,0.0,0.0,21.68888888888889,1.3273244228359502,22.96666666666667,20.35,2.616666666666667,1.2777777777777786,-0.93333333333333,0.9944444444444436,-1.3388888888888886,0.007407407407406197,0.005555555555552871,0.005555555555552871,0.005555555555552871,0.005555555555554055,0.005555555555557608,0.00555555555555524,0.005555555555556424,0.0011111111111105742,0.0,0.011066287337554041,1.3209528688524588,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,7.0,2021-06-17 06:35:29,0.0,99.18733381,0.0,21.088888888888885,0.89631841,22.97777777777777,20.75555555555556,22.68888888888889,20.361111111111114,23.02777777777778,20.56111111111112,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.23494152,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.72869608612567,-250.83237767612573,-435.935147587225,464.585147587225,-218.90097520595475,241.8787529837325,-191.72097999597585,220.37097999597583,-86.75420371027326,107.50975926582882,-390.60817996769583,419.2581799676958,-148.70670847537633,171.39559736426523,-284.48838843274007,313.13838843274004,-174.41252699845614,194.7736381095673,28.649999999999995,0.0,28.649999999999995,28.649999999999995,0.0,0.0,0.0,0.0,0.0,21.695833333333333,1.3285514172634594,22.97777777777777,20.361111111111114,2.6166666666666565,1.281944444444438,-0.9402777777777729,0.9930555555555571,-1.3347222222222186,0.0,0.0018518518518485887,0.0018518518518485887,0.0018518518518485887,0.00370370370370073,0.0018518518518533256,0.0018518518518521414,0.001851851851850957,0.0033333333333324332,-0.013789513999999992,0.011067516993348936,1.3205300556942576,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,8.0,2021-06-17 06:35:30,0.0,99.18733381,0.0,21.077777777777776,0.89631841,22.97777777777777,20.76111111111112,22.68888888888889,20.355555555555554,23.02777777777778,20.56111111111112,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,28.649999999999995,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.7,,174.128952,81.08352504000001,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.75873464450476,-250.86241623450476,-435.935147587225,464.585147587225,-218.90097520595475,241.8787529837325,-191.72097999597585,220.37097999597583,-86.75420371027326,107.51531482138438,-390.60817996769583,419.2581799676958,-148.70670847537633,171.39559736426523,-284.48838843274007,313.13838843274004,-174.41252699845614,194.7680825540117,28.649999999999995,0.0,28.649999999999995,28.649999999999995,0.0,0.0,0.0,0.0,0.0,21.695833333333333,1.3291088555096715,22.97777777777777,20.355555555555554,2.6222222222222165,1.281944444444438,-0.9347222222222129,0.9930555555555571,-1.3402777777777786,0.005555555555556424,0.005555555555556424,0.005555555555556424,0.005555555555556424,0.00370370370370073,0.00555555555555524,0.0018518518518521414,0.005555555555554055,0.0022222222222218592,-0.013789513999999992,0.011066287337554041,1.3205300556942576,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
FLIGHT_01,9.0,2021-06-17 06:35:31,0.0,99.18733381,0.0,21.088888888888885,0.82737084,22.97777777777777,20.772222222222226,22.68888888888889,20.366666666666664,23.033333333333328,20.56111111111112,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,28.666666666666664,340.46160000000003,0.0,0.08128,25.8,24.7,24.0,-4.6,,174.128952,81.0078168,1.07,-2.13,real_telemetry_with_physics_informed_fault_injection,0,NONE,HEALTHY,0,0.0,99999.0,453.4773939363374,-453.4773939363374,251.72869608612567,-250.9013252461257,-435.935147587225,464.6018142538917,-218.90097520595475,241.8787529837325,-191.72097999597585,220.38764666264248,-86.75420371027326,107.52642593249548,-390.60817996769583,419.2748466343625,-148.70670847537633,171.39559736426523,-284.48838843274007,313.15505509940675,-174.41252699845614,194.7791936651228,28.666666666666664,0.0,28.666666666666664,28.666666666666664,0.0,0.0,0.0,0.0,0.0,21.70138888888889,1.3227696890259304,22.97777777777777,20.366666666666664,2.611111111111107,1.2763888888888815,-0.9291666666666636,0.9875000000000007,-1.3347222222222257,0.0,0.0,0.0,0.0,0.0,0.00555555555555524,0.005555555555556424,-0.003703703703704283,0.0,-0.013789513999999992,0.010216169532322097,1.32096,1.0,0.0,1,HEALTHY,0.9999994923308809,0,2360.0816971402687,1962.5739102065206,2360.0816971402687,0.0,CONTINUE_MISSION,LOW (NOMINAL)
